accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,accelerometerTimestamp_sinceReboot,identifierForVendor,locationAltitude,locationCourse,locationFloor,locationHorizontalAccuracy,locationLatitude,locationLongitude,locationSpeed,locationTimestamp_since1970,locationVerticalAccuracy,loggingTime
0.047165,-0.907227,-0.397827,387012.806630,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.505848,-1.000000,-9999,65.000000,13.719407,100.445720,-1.000000,1602778287.740655,10.000000,2563-10-15 23:11:29.416 +0700
0.043182,-0.917511,-0.403793,387012.903849,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.489631,-1.000000,-9999,65.000000,13.719302,100.445768,-1.000000,1602778289.413566,10.000000,2563-10-15 23:11:29.515 +0700
0.028702,-0.910278,-0.404434,387013.001068,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.489631,-1.000000,-9999,65.000000,13.719302,100.445768,-1.000000,1602778289.413566,10.000000,2563-10-15 23:11:29.616 +0700
0.034088,-0.908295,-0.406586,387013.098287,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.489631,-1.000000,-9999,65.000000,13.719302,100.445768,-1.000000,1602778289.413566,10.000000,2563-10-15 23:11:29.716 +0700
0.032181,-0.904968,-0.410080,387013.292724,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.489631,-1.000000,-9999,65.000000,13.719302,100.445768,-1.000000,1602778289.413566,10.000000,2563-10-15 23:11:29.816 +0700
0.034149,-0.906845,-0.408554,387013.389943,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.489631,-1.000000,-9999,65.000000,13.719302,100.445768,-1.000000,1602778289.413566,10.000000,2563-10-15 23:11:29.916 +0700
0.038055,-0.911850,-0.406631,387013.487162,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.489631,-1.000000,-9999,65.000000,13.719302,100.445768,-1.000000,1602778289.413566,10.000000,2563-10-15 23:11:30.016 +0700
0.043839,-0.915863,-0.408768,387013.584381,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.489631,-1.000000,-9999,65.000000,13.719302,100.445768,-1.000000,1602778289.413566,10.000000,2563-10-15 23:11:30.116 +0700
0.034882,-0.910202,-0.407837,387013.681600,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.489631,-1.000000,-9999,65.000000,13.719302,100.445768,-1.000000,1602778289.413566,10.000000,2563-10-15 23:11:30.216 +0700
0.029831,-0.902969,-0.408325,387013.778818,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.489631,-1.000000,-9999,65.000000,13.719302,100.445768,-1.000000,1602778289.413566,10.000000,2563-10-15 23:11:30.315 +0700
0.036728,-0.913055,-0.397842,387013.876037,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.489631,-1.000000,-9999,65.000000,13.719302,100.445768,-1.000000,1602778289.413566,10.000000,2563-10-15 23:11:30.416 +0700
0.032272,-0.904846,-0.407227,387013.973255,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.489631,-1.000000,-9999,65.000000,13.719302,100.445768,-1.000000,1602778289.413566,10.000000,2563-10-15 23:11:30.516 +0700
0.035965,-0.903473,-0.413010,387014.070474,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.489631,-1.000000,-9999,65.000000,13.719302,100.445768,-1.000000,1602778289.413566,10.000000,2563-10-15 23:11:30.616 +0700
0.038712,-0.906815,-0.411423,387014.167693,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.489631,-1.000000,-9999,65.000000,13.719302,100.445768,-1.000000,1602778289.413566,10.000000,2563-10-15 23:11:30.716 +0700
0.036499,-0.901245,-0.414490,387014.264912,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.489631,-1.000000,-9999,65.000000,13.719302,100.445768,-1.000000,1602778289.413566,10.000000,2563-10-15 23:11:30.816 +0700
0.042816,-0.908188,-0.414688,387014.362131,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.489631,-1.000000,-9999,65.000000,13.719302,100.445768,-1.000000,1602778289.413566,10.000000,2563-10-15 23:11:30.916 +0700
0.038147,-0.918686,-0.436310,387014.459350,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.489631,-1.000000,-9999,65.000000,13.719302,100.445768,-1.000000,1602778289.413566,10.000000,2563-10-15 23:11:31.016 +0700
0.042084,-0.907242,-0.420654,387014.556568,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.489631,-1.000000,-9999,65.000000,13.719302,100.445768,-1.000000,1602778289.413566,10.000000,2563-10-15 23:11:31.116 +0700
0.037018,-0.901688,-0.419830,387014.653787,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.489631,-1.000000,-9999,65.000000,13.719302,100.445768,-1.000000,1602778289.413566,10.000000,2563-10-15 23:11:31.216 +0700
0.035110,-0.896118,-0.423462,387014.751006,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.489631,-1.000000,-9999,65.000000,13.719302,100.445768,-1.000000,1602778289.413566,10.000000,2563-10-15 23:11:31.316 +0700
0.036560,-0.902695,-0.418991,387014.848225,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.489631,-1.000000,-9999,65.000000,13.719302,100.445768,-1.000000,1602778289.413566,10.000000,2563-10-15 23:11:31.416 +0700
0.035706,-0.898849,-0.422699,387014.945449,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.489631,-1.000000,-9999,65.000000,13.719302,100.445768,-1.000000,1602778289.413566,10.000000,2563-10-15 23:11:31.516 +0700
0.035141,-0.899475,-0.421448,387015.042668,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.489631,-1.000000,-9999,65.000000,13.719302,100.445768,-1.000000,1602778289.413566,10.000000,2563-10-15 23:11:31.616 +0700
0.036972,-0.900009,-0.421539,387015.139887,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.489631,-1.000000,-9999,65.000000,13.719302,100.445768,-1.000000,1602778289.413566,10.000000,2563-10-15 23:11:31.716 +0700
0.036057,-0.898758,-0.420258,387015.237106,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.489631,-1.000000,-9999,65.000000,13.719302,100.445768,-1.000000,1602778289.413566,10.000000,2563-10-15 23:11:31.816 +0700
0.036530,-0.899643,-0.419815,387015.334325,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.489631,-1.000000,-9999,65.000000,13.719302,100.445768,-1.000000,1602778289.413566,10.000000,2563-10-15 23:11:31.916 +0700
0.036255,-0.899750,-0.420853,387015.431544,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.489631,-1.000000,-9999,65.000000,13.719302,100.445768,-1.000000,1602778289.413566,10.000000,2563-10-15 23:11:32.016 +0700
